date,city,product,units,unit_price,discount
2025-01-03,New York,Laptop,3,1200,0.10
2025-01-04,Chicago,Tablet,5,450,0.05
2025-01-05,San Francisco,Smartphone,8,800,0.08
2025-01-06,Los Angeles,Headphones,12,150,0.15
2025-01-07,Seattle,Smartwatch,6,300,0.10
2025-01-08,Boston,Laptop,2,1250,0.12
2025-01-09,Austin,Tablet,7,430,0.07
2025-01-10,Denver,Smartphone,4,820,0.05
2025-01-11,Miami,Headphones,15,140,0.20
2025-01-12,Atlanta,Smartwatch,5,310,0.08
2025-01-13,New York,Tablet,9,460,0.06
2025-01-14,Chicago,Laptop,1,1180,0.10
2025-01-15,San Francisco,Smartphone,6,790,0.09
2025-01-16,Los Angeles,Headphones,10,155,0.18
2025-01-17,Seattle,Smartwatch,7,295,0.11
